genus,family,order,class
Thomasomys,Cricetidae,Rodentia,Mammalia
Cervidae,Cervidae,Rodentia,Mammalia
Cryptomys,Bathyergidae,Rodentia,Mammalia
Nycticebus,Lorisidae,Rodentia,Mammalia
Psammomys,Muridae,Rodentia,Mammalia
Rhynchocyon,Macroscelididae,Rodentia,Mammalia
Leontopithecus,Cebidae,Rodentia,Mammalia
Mesocricetus,Cricetidae,Rodentia,Mammalia
Abrocoma,Abrocomidae,Rodentia,Mammalia
Galerella,Bolbitiaceae,Rodentia,Agaricomycetes
Micromys,Muridae,Rodentia,Mammalia
Neotetracus,Erinaceidae,Rodentia,Mammalia
Genetta,Viverridae,Rodentia,Mammalia
Grammomys,Muridae,Rodentia,Mammalia
Allocricetulus,Cricetidae,Rodentia,Mammalia
Atelerix,Erinaceidae,Rodentia,Mammalia
Dendrolagus,Macropodidae,Rodentia,Mammalia
Megadontomys,Cricetidae,Rodentia,Mammalia
Chionomys,Cricetidae,Rodentia,Mammalia
Tapirus,Tapiridae,Rodentia,Mammalia
Petrodromus,Macroscelididae,Rodentia,Mammalia
Thylogale,Macropodidae,Rodentia,Mammalia
Callithrix,Cebidae,Rodentia,Mammalia
Erinaceus,Erinaceidae,Rodentia,Mammalia
Eschrichtius,Eschrichtiidae,Rodentia,Mammalia
Lemur,Lemuridae,Rodentia,Mammalia
Capromys,Capromyidae,Rodentia,Mammalia
Neomys,Soricidae,Rodentia,Mammalia
Notocitellus,Sciuridae,Rodentia,Mammalia
Cuniculus,Cuniculidae,Rodentia,Mammalia
Heterohyrax,Procaviidae,Rodentia,Mammalia
Aepyceros,Bovidae,Rodentia,Mammalia
Potos,Procyonidae,Rodentia,Mammalia
Hydromys,Muridae,Rodentia,Mammalia
Tenrec,Tenrecidae,Rodentia,Mammalia
Tscherskia,Cricetidae,Rodentia,Mammalia
Grampus,Delphinidae,Rodentia,Mammalia
Sminthopsis,Dasyuridae,Rodentia,Mammalia
Tragulus,Tragulidae,Rodentia,Mammalia
Capra,Bovidae,Rodentia,Mammalia
Otocyon,Canidae,Rodentia,Mammalia
Pogonomys,Muridae,Rodentia,Mammalia
Aotus,Fabaceae,Rodentia,Magnoliopsida
Hemicentetes,Tenrecidae,Rodentia,Mammalia
Bullimus,Muridae,Rodentia,Mammalia
Tachyoryctes,Spalacidae,Rodentia,Mammalia
Mylomys,Muridae,Rodentia,Mammalia
Balaenoptera,Balaenopteridae,Rodentia,Mammalia
Coendou,Erethizontidae,Rodentia,Mammalia
Gazella,Bovidae,Rodentia,Mammalia
Notomys,Muridae,Rodentia,Mammalia
Antilope,Bovidae,Rodentia,Mammalia
Cephalophus,Bovidae,Rodentia,Mammalia
Globicephala,Delphinidae,Rodentia,Mammalia
Microsciurus,Sciuridae,Rodentia,Mammalia
Sivalhippus,NA,Rodentia,NA
Spermophilus-h,NA,Rodentia,NA
Hybomys,Muridae,Rodentia,Mammalia
Pongo,Hominidae,Rodentia,Mammalia
Tlacuatzin,Didelphidae,Rodentia,Mammalia
Megasorex,Soricidae,Rodentia,Mammalia
Tachyglossus,Tachyglossidae,Rodentia,Mammalia
Uncia,Felidae,Rodentia,Mammalia
Ateles,Atelidae,Rodentia,Mammalia
Gorilla,Hominidae,Rodentia,Mammalia
Tragelaphus,Bovidae,Rodentia,Mammalia
Dendromus,Nesomyidae,Rodentia,Mammalia
Muntiacus,Cervidae,Rodentia,Mammalia
Rhombomys,Muridae,Rodentia,Mammalia
Uromys,Muridae,Rodentia,Mammalia
Bradypus,Bradypodidae,Rodentia,Mammalia
Delomys,Cricetidae,Rodentia,Mammalia
Geoxus,Cricetidae,Rodentia,Mammalia
Hodomys,Cricetidae,Rodentia,Mammalia
Stenomys,NA,Rodentia,NA
Pan,Hominidae,Rodentia,Mammalia
Phascolarctos,Phascolarctidae,Rodentia,Mammalia
Glis,Gliridae,Rodentia,Mammalia
Reithrodon,Cricetidae,Rodentia,Mammalia
Bos,Bovidae,Rodentia,Mammalia
Cynocephalus,Cynocephalidae,Rodentia,Mammalia
Desmodillus,Muridae,Rodentia,Mammalia
Ovibos,Bovidae,Rodentia,Mammalia
Paradoxurus,Viverridae,Rodentia,Mammalia
Tayassu,Tayassuidae,Rodentia,Mammalia
Echinops,Asteraceae,Rodentia,Magnoliopsida
Erythrocebus,Cercopithecidae,Rodentia,Mammalia
Helogale,Herpestidae,Rodentia,Mammalia
Mesoplodon,Ziphiidae,Rodentia,Mammalia
Neophoca,Otariidae,Rodentia,Mammalia
Perameles,Peramelidae,Rodentia,Mammalia
Xenomys,Cricetidae,Rodentia,Mammalia
Neodon,Cricetidae,Rodentia,Mammalia
Pipanacoctomys,Octodontidae,Rodentia,Mammalia
Tolypeutes,Chlamyphoridae,Rodentia,Mammalia
Ailurus,Ailuridae,Rodentia,Mammalia
Batomys,Muridae,Rodentia,Mammalia
Chiropodomys,Muridae,Rodentia,Mammalia
Kogia,Physeteridae,Rodentia,Mammalia
Ornithorhynchus,Ornithorhynchidae,Rodentia,Mammalia
Aonyx,Mustelidae,Rodentia,Mammalia
Suricata,Herpestidae,Rodentia,Mammalia
Euchoreutes,Dipodidae,Rodentia,Mammalia
Mysateles,Capromyidae,Rodentia,Mammalia
Scolomys,Cricetidae,Rodentia,Mammalia
Manis,Manidae,Rodentia,Mammalia
Myoprocta,Dasyproctidae,Rodentia,Mammalia
Perodicticus,Lorisidae,Rodentia,Mammalia
Hipparion,NA,Rodentia,NA
Hydropotes,Cervidae,Rodentia,Mammalia
Lycalopex,Canidae,Rodentia,Mammalia
Sigmodontinae,Cricetidae,Rodentia,Mammalia
Taterillus,Muridae,Rodentia,Mammalia
Antidorcas,Bovidae,Rodentia,Mammalia
Heliosciurus,Sciuridae,Rodentia,Mammalia
Hoplomys,Echimyidae,Rodentia,Mammalia
Otolemur,Galagidae,Rodentia,Mammalia
Phacochoerus,Suidae,Rodentia,Mammalia
Poliocitellus,Sciuridae,Rodentia,Mammalia
Spalacopus,Octodontidae,Rodentia,Mammalia
Unknown,NA,Rodentia,NA
Varecia,Lemuridae,Rodentia,Mammalia
unknown,NA,Rodentia,NA
Capreolus,Cervidae,Rodentia,Mammalia
Chrysochloris,Chrysochloridae,Rodentia,Mammalia
Echimys,Echimyidae,Rodentia,Mammalia
Tarsius,Tarsiidae,Rodentia,Mammalia
Cricetomys,Nesomyidae,Rodentia,Mammalia
Lorentzimys,Muridae,Rodentia,Mammalia
Pithecia,Pitheciidae,Rodentia,Mammalia
Thalpomys,Cricetidae,Rodentia,Mammalia
Alcelaphus,Bovidae,Rodentia,Mammalia
Ceratotherium,Rhinocerotidae,Rodentia,Mammalia
Chaetophractus,Chlamyphoridae,Rodentia,Mammalia
Chroeomys,NA,Rodentia,NA
Cyclopes,Cyclopedidae,Rodentia,Mammalia
Dasyurus,Dasyuridae,Rodentia,Mammalia
Eira,Mustelidae,Rodentia,Mammalia
Salinomys,Cricetidae,Rodentia,Mammalia
Bettongia,Potoroidae,Rodentia,Mammalia
Urogale,Tupaiidae,Rodentia,Mammalia
Diplomys,Echimyidae,Rodentia,Mammalia
Petrogale,Macropodidae,Rodentia,Mammalia
Zyzomys,Muridae,Rodentia,Mammalia
Heterogeomys,NA,Rodentia,NA
Isoodon,Peramelidae,Rodentia,Mammalia
Pseudochirulus,Pseudocheiridae,Rodentia,Mammalia
Soriculus,Soricidae,Rodentia,Mammalia
Connochaetes,Bovidae,Rodentia,Mammalia
Oenomys,Muridae,Rodentia,Mammalia
Phaulomys,Cricetidae,Rodentia,Mammalia
Setifer,Tenrecidae,Rodentia,Mammalia
Spilocuscus,Phalangeridae,Rodentia,Mammalia
Thaptomys,Cricetidae,Rodentia,Mammalia
Kobus,Bovidae,Rodentia,Mammalia
Neofelis,Felidae,Rodentia,Mammalia
Thallomys,Muridae,Rodentia,Mammalia
Zaedyus,Chlamyphoridae,Rodentia,Mammalia
Acinonyx,Felidae,Rodentia,Mammalia
Anourosorex,Soricidae,Rodentia,Mammalia
Euphractus,Chlamyphoridae,Rodentia,Mammalia
Hylomyscus,Muridae,Rodentia,Mammalia
Madoqua,Bovidae,Rodentia,Mammalia
Chironectes,Didelphidae,Rodentia,Mammalia
Lagothrix,Atelidae,Rodentia,Mammalia
Megaptera,Balaenopteridae,Rodentia,Mammalia
Petauroides,Pseudocheiridae,Rodentia,Mammalia
Sciuridae,Sciuridae,Rodentia,Mammalia
Trachypithecus,Cercopithecidae,Rodentia,Mammalia
Axis,Cervidae,Rodentia,Mammalia
Hystrix,Poaceae,Rodentia,Magnoliopsida
Pekania,NA,Rodentia,NA
Callimico,Cebidae,Rodentia,Mammalia
Chrotomys,Muridae,Rodentia,Mammalia
Cystophora,Sargassaceae,Rodentia,Phaeophyceae
Lagidium,Chinchillidae,Rodentia,Mammalia
Paraechinus,Erinaceidae,Rodentia,Mammalia
Sundamys,Muridae,Rodentia,Mammalia
Cremohipparion,NA,Rodentia,NA
Orcinus,Delphinidae,Rodentia,Mammalia
Prionailurus,Felidae,Rodentia,Mammalia
Eulemur,Lemuridae,Rodentia,Mammalia
Giraffa,Giraffidae,Rodentia,Mammalia
Leporillus,Muridae,Rodentia,Mammalia
Speothos,Canidae,Rodentia,Mammalia
Sphiggurus,Erethizontidae,Rodentia,Mammalia
Chrysocyon,Canidae,Rodentia,Mammalia
Ichneumia,Herpestidae,Rodentia,Mammalia
Lama,Camelidae,Rodentia,Mammalia
Murexechinus,Dasyuridae,Rodentia,Mammalia
Semnopithecus,Cercopithecidae,Rodentia,Mammalia
Sigmodon-h,NA,Rodentia,NA
Sylvicapra,Bovidae,Rodentia,Mammalia
Lycaon,Canidae,Rodentia,Mammalia
Microsorex,NA,Rodentia,NA
Potorous,Potoroidae,Rodentia,Mammalia
Pseudoryzomys,Cricetidae,Rodentia,Mammalia
Acrobates,Acrobatidae,Rodentia,Mammalia
Caracal,Felidae,Rodentia,Mammalia
Saiga,Bovidae,Rodentia,Mammalia
Ictonyx,Mustelidae,Rodentia,Mammalia
Myospalax,Spalacidae,Rodentia,Mammalia
Nesoryzomys,Cricetidae,Rodentia,Mammalia
Oryx,Bovidae,Rodentia,Mammalia
Tympanoctomys,Octodontidae,Rodentia,Mammalia
Agouti,Cuniculidae,Rodentia,Mammalia
Bassaricyon,Procyonidae,Rodentia,Mammalia
Phocidae,Phocidae,Rodentia,Mammalia
Potamochoerus,Suidae,Rodentia,Mammalia
Romerolagus,Leporidae,Rodentia,Mammalia
Callicebus,Pitheciidae,Rodentia,Mammalia
Civettictis,Viverridae,Rodentia,Mammalia
Heliophobius,Bathyergidae,Rodentia,Mammalia
Microcebus,Cheirogaleidae,Rodentia,Mammalia
Nanger,Bovidae,Rodentia,Mammalia
Phloeomys,Muridae,Rodentia,Mammalia
Thrichomys,Echimyidae,Rodentia,Mammalia
Vombatus,Vombatidae,Rodentia,Mammalia
Ziphius,Ziphiidae,Rodentia,Mammalia
Elephas,Elephantidae,Rodentia,Mammalia
Funisciurus,Sciuridae,Rodentia,Mammalia
Physeter,Physeteridae,Rodentia,Mammalia
Urotrichus,Talpidae,Rodentia,Mammalia
Litocranius,Bovidae,Rodentia,Mammalia
Mungos,Herpestidae,Rodentia,Mammalia
Myomorpha,NA,Rodentia,Mammalia
Octomys,Octodontidae,Rodentia,Mammalia
Oryzoryctes,NA,Rodentia,NA
Petaurista,Sciuridae,Rodentia,Mammalia
Salpingotus,Dipodidae,Rodentia,Mammalia
Anomalurus,Anomaluridae,Rodentia,Mammalia
Cabassous,Chlamyphoridae,Rodentia,Mammalia
Cricetus,Cricetidae,Rodentia,Mammalia
Funambulus,Sciuridae,Rodentia,Mammalia
Monodon,Monodontidae,Rodentia,Mammalia
Petromus,Petromuridae,Rodentia,Mammalia
Redunca,Bovidae,Rodentia,Mammalia
Sicista,Dipodidae,Rodentia,Mammalia
Cercartetus,Burramyidae,Rodentia,Mammalia
Dipodillus,Muridae,Rodentia,Mammalia
Microperoryctes,Peroryctidae,Rodentia,Mammalia
Neotomys,Cricetidae,Rodentia,Mammalia
Neotragus,Bovidae,Rodentia,Mammalia
Nomascus,Hylobatidae,Rodentia,Mammalia
Pseudochirops,Pseudocheiridae,Rodentia,Mammalia
Ratufa,Sciuridae,Rodentia,Mammalia
Damaliscus,Bovidae,Rodentia,Mammalia
Hydrochoeris,NA,Rodentia,NA
Myosorex,Soricidae,Rodentia,Mammalia
Nandinia,Nandiniidae,Rodentia,Mammalia
Philantomba,Bovidae,Rodentia,Mammalia
Rhinoceros,Rhinocerotidae,Rodentia,Mammalia
Sarcophilus,Dasyuridae,Rodentia,Mammalia
Abeomelomys,Muridae,Rodentia,Mammalia
Arctictis,Viverridae,Rodentia,Mammalia
Crocuta,Hyaenidae,Rodentia,Mammalia
Hippotragus,Bovidae,Rodentia,Mammalia
Lenoxus,Cricetidae,Rodentia,Mammalia
Lobodon,Phocidae,Rodentia,Mammalia
Macropodidae,Macropodidae,Rodentia,Mammalia
Mogera,Talpidae,Rodentia,Mammalia
Myrmecophaga,Myrmecophagidae,Rodentia,Mammalia
Phascolosorex,Dasyuridae,Rodentia,Mammalia
Taurotragus,Bovidae,Rodentia,Mammalia
Macrogeomys,NA,Rodentia,NA
Octodontomys,Ctenomyidae,Rodentia,Mammalia
Proteles,Hyaenidae,Rodentia,Mammalia
Pudu,Cervidae,Rodentia,Mammalia
Steatomys,Nesomyidae,Rodentia,Mammalia
Stenocephalemys,Muridae,Rodentia,Mammalia
