Alcelaphus buselaphus,{body mass},2
Alcelaphus buselaphus,{ear length to notch},2
Alcelaphus buselaphus,{tail length},3
Alces alces,{body length},37
Alces alces,{body mass},32
Alces alces,{ear length to notch},10
Alces alces,{tail length},35
Alces americanus,{body mass},1
Allactaga balikunica,{body length},53
Allactaga balikunica,{body mass},53
Allactaga balikunica,{ear length to notch},53
Allactaga balikunica,{tail length},53
Allactaga bullata,{body length},64
Allactaga bullata,{body mass},65
Allactaga bullata,{ear length to notch},64
Allactaga bullata,{tail length},65
Allactaga elater,{body length},1
Allactaga elater,{ear length to notch},1
Allactaga elater,{tail length},1
Allactaga sibirica,{body length},134
Allactaga sibirica,{body mass},136
Allactaga sibirica,{ear length to notch},135
Allactaga sibirica,{tail length},136
Allactaga sp.,{body length},1
Allactaga sp.,{body mass},1
Allactaga sp.,{ear length to notch},1
Allactaga sp.,{tail length},1
Allenopithecus nigroviridis,{body length},1
Allenopithecus nigroviridis,{ear length to notch},1
Allenopithecus nigroviridis,{tail length},1
Allocricetulus curtatus,{body length},15
Allocricetulus curtatus,{body mass},15
Allocricetulus curtatus,{ear length to notch},15
Allocricetulus curtatus,{tail length},15
Allocricetulus eversmanni,{body length},1
Allocricetulus eversmanni,{body mass},1
Allocricetulus eversmanni,{ear length to notch},1
Allocricetulus eversmanni,{tail length},1
Allocricetulus sp.,{body length},1
Allocricetulus sp.,{body mass},1
Allocricetulus sp.,{ear length to notch},1
Allocricetulus sp.,{tail length},1
Alopex lagopus,{body length},98
Alopex lagopus,{body mass},137
Alopex lagopus,{ear length to notch},125
Alopex lagopus,{tail length},137
Alopex sp.,{body length},1
Alopex sp.,{ear length to notch},1
Alopex sp.,{tail length},1
Alouatta caraya,{body length},2
Alouatta palliata,{body length},16
Alouatta palliata,{body mass},1
Alouatta palliata,{ear length to notch},5
Alouatta palliata,{tail length},16
Alouatta seniculus,{body length},10
Alouatta seniculus,{body mass},2
Alouatta seniculus,{ear length to notch},9
Alouatta seniculus,{tail length},10
Alouatta sp.,{body length},1
Alouatta sp.,{ear length to notch},1
Alouatta sp.,{tail length},1
Alticola,{body length},3
Alticola,{body mass},3
Alticola,{ear length to notch},3
Alticola,{tail length},3
Alticola argentatus,{body length},7
Alticola argentatus,{body mass},7
Alticola argentatus,{ear length to notch},7
Alticola argentatus,{tail length},7
Alticola barakshin,{body length},289
Alticola barakshin,{body mass},291
Alticola barakshin,{ear length to notch},288
Alticola barakshin,{tail length},288
Alticola lemminus,{body length},44
Alticola lemminus,{body mass},48
Alticola lemminus,{ear length to notch},44
Alticola lemminus,{tail length},44
Alticola macrotis,{body length},5
Alticola macrotis,{body mass},4
Alticola macrotis,{tail length},5
Alticola semicanus,{body length},30
Alticola semicanus,{body mass},30
Alticola semicanus,{ear length to notch},30
Alticola semicanus,{tail length},30
Alticola sp.,{body length},173
Alticola sp.,{body mass},171
Alticola sp.,{ear length to notch},174
Alticola sp.,{tail length},173
Alticola strelzowi,{body length},112
Alticola strelzowi,{body mass},112
Alticola strelzowi,{ear length to notch},111
Alticola strelzowi,{tail length},112
Alticola tuvinicus,{body length},18
Alticola tuvinicus,{body mass},18
Alticola tuvinicus,{ear length to notch},18
Alticola tuvinicus,{tail length},18
Amblysomus hottentotus,{body length},4
Amblysomus hottentotus,{body mass},2
Amblysomus hottentotus,{ear length to notch},3
Amblysomus hottentotus,{tail length},3
Ametrida centurio,{body length},2
Ametrida centurio,{body mass},1
Ametrida centurio,{ear length to notch},3
Ametrida sp.,{body length},1
Ametrida sp.,{body mass},1
Ametrida sp.,{ear length to notch},1
Ammospermophilus,{body length},5
Ammospermophilus,{ear length to notch},2
Ammospermophilus,{tail length},5
Ammospermophilus harrisii,{body length},176
Ammospermophilus harrisii,{body mass},102
Ammospermophilus harrisii,{ear length to notch},278
Ammospermophilus harrisii,{tail length},177
Ammospermophilus insularis,{body length},5
Ammospermophilus insularis,{body mass},4
Ammospermophilus insularis,{ear length to notch},5
Ammospermophilus insularis,{tail length},5
Ammospermophilus interpres,{body length},68
Ammospermophilus interpres,{body mass},35
Ammospermophilus interpres,{ear length to notch},68
Ammospermophilus interpres,{tail length},68
Ammospermophilus leucurus,{body length},1558
Ammospermophilus leucurus,{body mass},742
Ammospermophilus leucurus,{ear length to notch},1533
Ammospermophilus leucurus,{lower tooth row length},5
Ammospermophilus leucurus,{tail length},1566
Ammospermophilus leucurus,{upper secondary molar tooth 1 occlusal surface width},5
Ammospermophilus nelsoni,{body length},96
Ammospermophilus nelsoni,{body mass},60
Ammospermophilus nelsoni,{ear length to notch},72
